MeasureName,ARDC,F-UJI,FAIR-Evaluator,FAIRChecker,FOOPS,O-FAIRe,SATIFYD
FAIR,0.3208333333333333,0.9166666666666666,0.8333333333333334,0.75,0.8125,1.0,0.3208333333333333
F,0.2,1.0,1.0,0.5,1.0,1.0,0.2
F1,0,1.0,1.0,1.0,1.0,1.0,0
F2,0,1.0,1.0,1.0,1.0,1.0,0
F3,0,1.0,1.0,0,1.0,1.0,0
F4,0,1.0,1.0,0,1.0,1.0,0
A,0.3333333333333333,0.6666666666666666,1.0,0.5,0.8333333333333333,1.0,0.3333333333333333
A1,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.0
A1.1,0,0,1.0,1.0,1.0,1.0,0
A1.2,0,0,1.0,1.0,0,1.0,0
A2,0,1.0,1.0,0,1.0,1.0,0
I,0.25,1.0,1.0,1.0,0.6666666666666666,1.0,0.25
I1,0,1.0,1.0,1.0,1.0,1.0,0
I2,0,1.0,1.0,1.0,1.0,1.0,0
I3,0,1.0,1.0,1.0,0,1.0,0
R,0.5,1.0,0.3333333333333333,1.0,0.75,1.0,0.5
R1,0.0,1.0,0.3333333333333333,1.0,0.75,1.0,0.0
R1.1,0,1.0,1.0,1.0,1.0,1.0,0
R1.2,0,1.0,0,1.0,1.0,1.0,0
R1.3,0,1.0,0,1.0,0,1.0,0
