MeasureName,ARDC,F-UJI,FAIR-Evaluator,FAIRChecker,FOOPS,O-FAIRe,SATIFYD
FAIR,3.0,1.3076923076923077,2.0,1.2,2.0,4.066666666666666,3.0
F,4.0,1.25,2.0,2.0,2.25,3.25,3.0
F1,0,2.0,3.0,2.0,5.0,4.0,0
F2,0,1.0,2.0,2.0,1.0,3.0,0
F3,0,1.0,2.0,0,1.0,3.0,0
F4,0,1.0,1.0,0,2.0,3.0,0
A,3.0,2.0,1.6666666666666667,1.0,1.0,3.25,3.0
A1,0,3.0,2.0,1.0,1.0,3.0,0
A1.1,0,0,2.0,1.0,1.0,3.0,0
A1.2,0,0,2.0,1.0,0,2.0,0
A2,0,1.0,1.0,0,1.0,4.0,0
I,3.0,1.0,2.3333333333333335,1.0,1.5,5.0,3.0
I1,0,1.0,4.0,1.0,1.0,5.0,0
I2,0,1.0,2.0,1.0,2.0,7.0,0
I3,0,1.0,1.0,1.0,0,3.0,0
R,2.0,1.25,2.0,1.0,3.0,5.0,3.0
R1,0,1.25,2.0,1.0,3.0,5.0,0
R1.1,0,1.0,2.0,1.0,2.0,3.0,0
R1.2,0,1.0,0,1.0,2.0,8.0,0
R1.3,0,2.0,0,1.0,0,3.0,0
