MeasureName,ARDC,F-UJI,FAIR-Evaluator,FAIRChecker,FOOPS,O-FAIRe,SATIFYD
FAIR,0.24999999999999994,1.0,1.0,1.0,0.3194444444444444,1.0,0.3333333333333333
F,0.08333333333333331,0.29411764705882354,0.36363636363636365,0.3333333333333333,0.12499999999999999,0.26961770623742454,0.08333333333333333
F1,0.0,0.11764705882352941,0.13636363636363635,0.16666666666666666,0.06944444444444443,0.08249496981891348,0.0
F2,0.0,0.058823529411764705,0.09090909090909091,0.16666666666666666,0.013888888888888888,0.05432595573440644,0.0
F3,0.0,0.058823529411764705,0.09090909090909091,0.0,0.013888888888888888,0.08450704225352113,0.0
F4,0.0,0.058823529411764705,0.045454545454545456,0.0,0.027777777777777776,0.0482897384305835,0.0
A,0.08333333333333333,0.23529411764705882,0.22727272727272727,0.16666666666666666,0.041666666666666664,0.22736418511066397,0.08333333333333333
A1,0.0,0.17647058823529413,0.18181818181818182,0.16666666666666666,0.027777777777777776,0.18712273641851107,0.0
A1.1,0.0,0.0,0.09090909090909091,0.08333333333333333,0.013888888888888888,0.056338028169014086,0.0
A1.2,0.0,0.0,0.09090909090909091,0.08333333333333333,0.0,0.04426559356136821,0.0
A2,0.0,0.058823529411764705,0.045454545454545456,0.0,0.013888888888888888,0.04024144869215292,0.0
I,0.08333333333333333,0.17647058823529413,0.3181818181818182,0.25,0.041666666666666664,0.2152917505030181,0.08333333333333333
I1,0.0,0.058823529411764705,0.18181818181818182,0.08333333333333333,0.013888888888888888,0.08450704225352113,0.0
I2,0.0,0.058823529411764705,0.09090909090909091,0.08333333333333333,0.027777777777777776,0.06438631790744467,0.0
I3,0.0,0.058823529411764705,0.045454545454545456,0.08333333333333333,0.0,0.06639839034205232,0.0
R,0.0,0.29411764705882354,0.09090909090909091,0.25,0.1111111111111111,0.28772635814889336,0.08333333333333333
R1,0.0,0.29411764705882354,0.09090909090909091,0.25,0.1111111111111111,0.28772635814889336,0.0
R1.1,0.0,0.058823529411764705,0.09090909090909091,0.08333333333333333,0.027777777777777776,0.0744466800804829,0.0
R1.2,0.0,0.058823529411764705,0.0,0.08333333333333333,0.027777777777777776,0.07645875251509054,0.0
R1.3,0.0,0.11764705882352941,0.0,0.08333333333333333,0.0,0.07243460764587525,0.0
